code,num
C1072,668.23584
C1128,1353.3031
C1456,536.755
C1840,536.755
C1332,906.79803
C1563,1811.4144
C1794,754.572
C1640,418.50757
C1377,368.61075
C2072,294.93655
C1472,438.1502
C1006,159.44887
C1083,405.66977
C1311,294.93655
C2676,172.4488
C2318,251.66898
C1603,468.33557
C2523,294.93655
C2177,147.3962
C2411,726.79224
C2033,203.40099
C1604,385.7547
C2535,468.33557
C1040,508.71487
C2417,407.57236
C1812,138.56064
C2253,155.94429
C1294,466.80844
C1772,432.16452
C2646,468.33557
C1152,754.572
C2423,124.72133
C1844,468.33557
C1318,251.66898
C1729,109.19795
C1602,326.18884
C1239,444.63138
C1721,579.28516
C1902,833.72656
C1855,309.0449
C2600,424.7163
C1071,392.6794
C2295,388.52582
C1621,470.92105
C1852,725.8376
C2555,1228.9193
C1297,468.68527
C2323,607.3253
C2215,385.90884
C2112,388.52582
C1830,750.74713
C2602,294.93655
C2608,1083.4779
C1215,639.0994
C2369,504.1931
C1158,265.76175
C1887,579.28516
C1189,326.18884
C1637,451.54132
C1225,124.72133
C2374,365.99377
C2397,500.81998
C1105,898.30554
C1782,365.99377
C1629,124.72133
C1708,294.93655
C2144,544.8489
C1617,897.9766
C1149,593.8914
C1323,487.38608
C1064,750.74713
C1019,294.93655
C2269,607.3253
C1416,833.72656
C1250,727.1632
C1741,405.66977
C1016,693.1454
C2675,790.8905
C2436,577.07086
C2039,898.30554
C1253,750.74713
C2028,1142.5796
C1166,298.13885
C1135,285.67682
C1216,294.93655
C1593,251.15125
C1826,247.64919
C1827,388.52582
C1564,314.85162
C1495,897.9766
C2653,750.74713
C1392,631.00555
C2128,314.85162
C1282,582.3707
C1521,995.81177
C2076,1078.0199
C1060,582.4158
C2473,1122.4689
C2557,634.2986
C1835,873.396
C2224,573.23627
C2222,388.52582
C2430,592.9313
C2497,473.50684
C1494,963.675
C1457,524.6206
C1525,1228.9193
C1712,602.9654
C2267,1013.2485
C1623,298.13885
C2131,559.65875
C2691,1032.4175
C1147,811.9659
C1692,949.86005
C1570,798.3465
C1474,100.92339
C1633,173.58163
C2113,532.7145
C2175,712.00433
C2303,1477.963
C2547,582.4158
C2292,873.396
C1496,626.2286
C1289,412.35593
C1849,642.0649
C1003,257.6984
C2268,491.16098
C2551,668.23584
C2688,103.343834
C1030,62.218285
C1327,101.82843
C2451,539.1083
C1749,540.3009
C1349,224.10231
C2043,225.61772
C1229,224.10231
C2363,433.34882
C1414,482.48868
C2174,491.16098
C2091,158.72914
C2335,500.52054
C1841,80.63197
C2404,103.343834
C1683,242.18285
C1038,343.42206
C2456,235.16415
C1266,450.3294
C2152,57.199337
C1267,426.78214
C2189,225.61772
